Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2017,Colorado Rockies,NL West,,,,,,,3rd of 5,--,,,,0,0,0,0,0,,
2016,Colorado Rockies,NL West,162,75,87,0,0.463,0.492,3rd of 5,16,,845,860,"2,602,524",27.8,27.7,47,25,N.Arenado (6.6),W.Weiss (75-87)
2015,Colorado Rockies,NL West,162,68,94,0,0.42,0.438,5th of 5,24,,737,844,"2,506,789",28,28.7,51,30,N.Arenado (5.8),W.Weiss (68-94)
2014,Colorado Rockies,NL West,162,66,96,0,0.407,0.463,4th of 5,28,,755,818,"2,680,329",27.4,28.5,49,26,T.Tulowitzki (5.5),W.Weiss (66-96)
2013,Colorado Rockies,NL West,162,74,88,0,0.457,0.466,5th of 5,18,,706,760,"2,793,828",27.7,28.3,43,23,J.Chacin (6.1),W.Weiss (74-88)
2012,Colorado Rockies,NL West,162,64,98,0,0.395,0.427,5th of 5,30,,758,890,"2,630,458",28.1,28.2,49,27,D.Fowler (2.8),J.Tracy (64-98)
2011,Colorado Rockies,NL West,162,73,89,0,0.451,0.476,4th of 5,21,,735,774,"2,909,777",28.6,27.7,55,29,T.Tulowitzki (6.1),J.Tracy (73-89)
2010,Colorado Rockies,NL West,162,83,79,0,0.512,0.533,3rd of 5,9,,770,717,"2,875,245",28.8,28.1,43,23,U.Jimenez (7.4),J.Tracy (83-79)
2009,Colorado Rockies,NL West,162,92,70,0,0.568,0.553,2nd of 5,3,Lost LDS (3-1),804,715,"2,665,080",27.8,28.5,45,25,T.Tulowitzki (6.5),C.Hurdle (18-28) and J.Tracy (74-42)
2008,Colorado Rockies,NL West,162,74,88,0,0.457,0.456,3rd of 5,10,,747,822,"2,650,218",27.5,28.5,49,26,M.Holliday (5.8),C.Hurdle (74-88)
2007,Colorado Rockies,NL West,163,90,73,0,0.552,0.558,2nd of 5,0.5,Lost WS (4-0),860,758,"2,376,250",27.9,28.1,53,30,T.Tulowitzki (6.8),C.Hurdle (90-73)
2006,Colorado Rockies,NL West,162,76,86,0,0.469,0.501,4th of 5,12,,813,812,"2,104,362",27.8,28.8,50,24,G.Atkins (4.9),C.Hurdle (76-86)
2005,Colorado Rockies,NL West,162,67,95,0,0.414,0.431,5th of 5,15,,740,862,"1,914,389",27.2,27.3,54,27,T.Helton (4.6),C.Hurdle (67-95)
2004,Colorado Rockies,NL West,162,68,94,0,0.42,0.453,4th of 5,25,,833,923,"2,338,069",30.4,28.8,47,25,T.Helton (8.3),C.Hurdle (68-94)
2003,Colorado Rockies,NL West,162,74,88,0,0.457,0.48,4th of 5,26.5,,853,892,"2,334,085",29.5,28,50,23,T.Helton (6.2),C.Hurdle (74-88)
2002,Colorado Rockies,NL West,162,73,89,0,0.451,0.435,4th of 5,25,,778,898,"2,737,838",28.7,28.5,43,22,T.Helton (6.3),B.Bell (6-16) and C.Hurdle (67-73)
2001,Colorado Rockies,NL West,162,73,89,0,0.451,0.509,5th of 5,19,,923,906,"3,166,821",28.3,28.7,53,26,T.Helton (7.8),B.Bell (73-89)
2000,Colorado Rockies,NL West,162,82,80,0,0.506,0.535,4th of 5,15,,968,897,"3,295,129",29.2,29.9,49,25,T.Helton (8.8),B.Bell (82-80)
1999,Colorado Rockies,NL West,162,72,90,0,0.444,0.442,5th of 5,28,,906,1028,"3,481,065",29.7,28.9,44,18,P.Astacio (6.0),J.Leyland (72-90)
1998,Colorado Rockies,NL West,162,77,85,0,0.475,0.484,4th of 5,21,,826,855,"3,792,683",29.5,27.8,42,19,L.Walker (5.7),D.Baylor (77-85)
1997,Colorado Rockies,NL West,162,83,79,0,0.512,0.507,3rd of 4,7,,923,908,"3,888,453",30.4,27.9,43,23,L.Walker (9.8),D.Baylor (83-79)
1996,Colorado Rockies,NL West,162,83,79,0,0.512,0.499,3rd of 4,8,,961,964,"3,891,014",30.1,28.8,44,21,E.Burks (7.9),D.Baylor (83-79)
1995,Colorado Rockies,NL West,144,77,67,0,0.535,0.501,2nd of 4,1,Lost LDS (3-1),785,783,"3,390,037",29.5,28.6,41,20,L.Walker (4.7),D.Baylor (77-67)
1994,Colorado Rockies,NL West,117,53,64,0,0.453,0.451,3rd of 4,6.5,,573,638,"3,281,511",29.7,28,36,18,M.Freeman (4.6),D.Baylor (53-64)
1993,Colorado Rockies,NL West,162,67,95,0,0.414,0.39,6th of 7,37,,758,967,"4,483,350",27.7,27.1,46,25,A.Galarraga (3.5),D.Baylor (67-95)
