Gm#,Date,Day,Date,Tm,H/A,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,,
1,Monday Apr 4,Mon,Apr 4,COL,A,ARI,W,10,5,,1-0,1,Tied,Miller,Greinke,,4:11,N,48165,+,,Apr 4
2,Tuesday Apr 5,Tue,Apr 5,COL,A,ARI,L,6,11,,1-1,3,1,Clippard,Bergman,,3:14,N,21830,-,,
3,Wednesday Apr 6,Wed,Apr 6,COL,A,ARI,W,4,3,,2-1,2,1,Chatwood,Corbin,McGee,2:39,D,18572,+,,
4,Friday Apr 8,Fri,Apr 8,COL,H,SDP,L,6,13,,2-2,3,1.5,Erlin,Lyles,,3:48,D,49360,-,,
5,Saturday Apr 9,Sat,Apr 9,COL,H,SDP,L,3,16,,2-3,3,1.5,Pomeranz,De La Rosa,,3:24,N,35177,--,,
6,Sunday Apr 10,Sun,Apr 10,COL,H,SDP,W,6,3,,3-3,3,1.5,Bettis,Shields,McGee,2:38,D,27587,+,,
7,Tuesday Apr 12,Tue,Apr 12,COL,H,SFG,L,2,7,,3-4,3,2.5,Samardzija,Chatwood,,2:44,N,20814,-,,
8,Wednesday Apr 13,Wed,Apr 13,COL,H,SFG,W,10,6,,4-4,3,1.5,Rusin,Peavy,,3:07,N,21891,+,,
9,Thursday Apr 14,Thu,Apr 14,COL,H,SFG,W,11,6,,5-4,3,0.5,De La Rosa,Cain,,3:26,D,21226,++,,
10,Friday Apr 15,Fri,Apr 15,COL,A,CHC,W,6,1,,6-4,2,0.5,Bettis,Hendricks,,2:59,D,34437,+++,,
11,Saturday Apr 16,Sat,Apr 16,COL,A,CHC,L,2,6,,6-5,3,0.5,Arrieta,Bergman,,2:39,D,41702,-,,
12,Sunday Apr 17,Sun,Apr 17,COL,A,CHC,W,2,0,,7-5,2,0.5,Chatwood,Lester,McGee,2:38,D,41678,+,,
13,Monday Apr 18,Mon,Apr 18,COL,A,CIN,W,5,1,,8-5,1,Tied,Lyles,Ohlendorf,,2:41,N,12777,++,,
14,Tuesday Apr 19,Tue,Apr 19,COL,A,CIN,L,3,4,,8-6,1,Tied,Stephenson,De La Rosa,,2:52,N,13240,-,,
15,Wednesday Apr 20,Wed,Apr 20,COL,A,CIN,L-wo,5,6,,8-7,2,1,Ohlendorf,Bergman,,2:55,D,12979,--,,
16,Friday Apr 22,Fri,Apr 22,COL,H,LAD,W,7,5,,9-7,2,0.5,Qualls,Hatcher,McGee,3:27,N,37153,+,,
17,Saturday Apr 23,Sat,Apr 23,COL,H,LAD,L,1,4,,9-8,2,1.5,Maeda,Chatwood,Jansen,3:09,N,42179,-,,
18,Sunday Apr 24,Sun,Apr 24,COL,H,LAD,L,10,12,,9-9,2,2.5,Blanton,McGee,Jansen,4:02,D,35962,--,,
19,Monday Apr 25,Mon,Apr 25,COL,H,PIT,L,1,6,,9-10,3,2.5,Locke,Bettis,Schugel,2:59,N,20674,---,,
20,Tuesday Apr 26,Tue,Apr 26,COL,H,PIT,L,4,9,,9-11,4,2.5,Cole,De La Rosa,,3:19,N,20227,----,,
21,Wednesday Apr 27,Wed,Apr 27,COL,H,PIT,L,8,9,12,9-12,4,2.5,Lobstein,Estevez,Melancon,4:58,N,21354,-----,,
22,Friday Apr 29,Fri,Apr 29,COL,A,ARI,W,9,0,,10-12,4,1,Chatwood,Ray,,3:21,N,23004,+,,
23,Saturday Apr 30,Sat,Apr 30,COL,A,ARI,W,5,2,,11-12,1,Tied,Qualls,Ziegler,McGee,3:16,N,32987,++,,
24,Sunday May 1,Sun,May 1,COL,A,ARI,W,6,3,,12-12,1,Tied,Bettis,Miller,McGee,3:23,D,25458,+++,,
25,Monday May 2,Mon,May 2,COL,A,SDP,L,1,2,,12-13,3,1,Shields,Gray,Rodney,3:01,N,19013,-,,
26,Tuesday May 3,Tue,May 3,COL,A,SDP,L,3,6,,12-14,3,2,Cashner,Butler,Rodney,2:46,N,20394,--,,
27,Wednesday May 4,Wed,May 4,COL,A,SDP,W,2,0,,13-14,3,1,Chatwood,Vargas,McGee,2:36,D,20034,+,,
28,Thursday May 5,Thu,May 5,COL,A,SFG,W,17,7,,14-14,1,Tied,Bergman,Cain,,3:25,N,41477,++,,
29,Friday May 6,Fri,May 6,COL,A,SFG,L,4,6,,14-15,2,1,Bumgarner,Bettis,Casilla,2:40,N,41358,-,,
30,Saturday May 7,Sat,May 7,COL,A,SFG,L-wo,1,2,13,14-16,3,2,Law,Miller,,4:20,D,41590,--,,
31,Sunday May 8,Sun,May 8,COL,A,SFG,W,2,0,,15-16,3,1,Butler,Samardzija,McGee,2:55,D,41593,+,,
32,Monday May 9,Mon,May 9,COL,H,ARI,L,5,10,,15-17,3,1,Bradley,Chatwood,,3:23,N,22053,-,,
33,Tuesday May 10,Tue,May 10,COL,H,ARI,L,1,5,,15-18,4,2,De La Rosa,Rusin,,3:08,N,23363,--,,
34,Wednesday May 11,Wed,May 11,COL,H,ARI,W,8,7,,16-18,3,1,Germen,Clippard,McGee,3:19,D,34890,+,,
35,Friday May 13,Fri,May 13,COL,H,NYM,W,5,2,,17-18,3,1.5,Gray,Harvey,McGee,2:48,N,38712,++,,
36,Saturday May 14,Sat,May 14,COL,H,NYM,W,7,4,,18-18,3,1.5,Butler,Verrett,McGee,3:11,N,34362,+++,,
37,Sunday May 15,Sun,May 15,COL,H,NYM,W,4,3,,19-18,3,1.5,Chatwood,Henderson,McGee,2:32,D,36901,++++,,
38,Tuesday May 17,Tue,May 17,COL,A,STL,W,3,1,,20-18,2,1.5,Bettis,Garcia,McGee,2:44,N,41109,+++++,,
39,Wednesday May 18,Wed,May 18,COL,A,STL,L,0,2,,20-19,2,2.5,Wainwright,Rusin,Rosenthal,2:54,N,42618,-,,
40,Thursday May 19,Thu,May 19,COL,A,STL,L,7,13,,20-20,2,3.5,Lyons,Gray,,3:16,N,43683,--,,
41,Friday May 20,Fri,May 20,COL,A,PIT,L,1,2,,20-21,2,3.5,Cole,Butler,Melancon,2:33,N,23428,---,,
42,Saturday May 21,Sat,May 21,COL,A,PIT,W,5,1,,21-21,2,3.5,Estevez,Melancon,,3:02,D,31352,+,,
43,Monday May 23,Mon,May 23,COL,A,PIT,L,3,6,,21-22,3,5,Boscan,Lyles,Melancon,3:10,D,34529,-,,
44,Tuesday May 24,Tue,May 24,COL,A,BOS,L,3,8,,21-23,3,6,Price,De La Rosa,,2:55,N,36123,--,,
45,Wednesday May 25,Wed,May 25,COL,A,BOS,L,3,10,,21-24,3,7,Wright,Bettis,,3:09,N,36430,---,,
46,Thursday May 26,Thu,May 26,COL,A,BOS,W,8,2,,22-24,3,6.5,Gray,Buchholz,,2:51,N,36162,+,,
47,Friday May 27,Fri,May 27,COL,H,SFG,W,5,2,,23-24,3,5.5,Chatwood,Suarez,McGee,2:42,N,32901,++,,
48,Saturday May 28,Sat,May 28,COL,H,SFG,L,5,10,,23-25,3,6.5,Gearrin,Estevez,,3:27,D,39253,-,,
49,Sunday May 29,Sun,May 29,COL,H,SFG,L,3,8,,23-26,3,7.5,Cueto,Rusin,,3:25,D,42307,--,,
50,Monday May 30,Mon,May 30,COL,H,CIN,L,8,11,,23-27,3,7.5,Straily,Bettis,Ramirez,3:25,D,30608,---,,
51,Tuesday May 31,Tue,May 31,COL,H,CIN,W,17,4,,24-27,3,7.5,Gray,Moscot,,3:07,N,20448,+,,
52,Wednesday Jun 1,Wed,Jun 1,COL,H,CIN,L,2,7,,24-28,3,7.5,Lamb,Chatwood,,2:50,N,23612,-,,
53,Thursday Jun 2,Thu,Jun 2,COL,H,CIN,L,4,11,,24-29,3,8.5,Simon,Butler,,2:44,N,28080,--,,
54,Friday Jun 3,Fri,Jun 3,COL,A,SDP,L,0,4,,24-30,3,9.5,Pomeranz,Rusin,,2:26,N,21588,---,,
55,Saturday Jun 4,Sat,Jun 4,COL,A,SDP,L,3,4,,24-31,3,9.5,Cashner,Bettis,Rodney,3:00,N,25503,----,,
56,Sunday Jun 5,Sun,Jun 5,COL,A,SDP,W,10,3,,25-31,3,8.5,Gray,Perdomo,,2:56,N,26206,+,,
57,Monday Jun 6,Mon,Jun 6,COL,A,LAD,W,6,1,,26-31,3,8,Chatwood,Bolsinger,,2:26,N,38964,++,,
58,Tuesday Jun 7,Tue,Jun 7,COL,A,LAD,L-wo,3,4,,26-32,3,8,Jansen,Estevez,,3:17,N,40525,-,,
59,Wednesday Jun 8,Wed,Jun 8,COL,A,LAD,W,1,0,,27-32,3,8,Rusin,Maeda,McGee,3:04,N,41324,+,,
60,Thursday Jun 9,Thu,Jun 9,COL,H,PIT,W,11,5,,28-32,3,7.5,De La Rosa,Locke,,2:53,D,24678,++,,
61,Friday Jun 10,Fri,Jun 10,COL,H,SDP,L,5,7,,28-33,3,7.5,Quackenbush,McGee,Rodney,3:23,N,32663,-,,
62,Saturday Jun 11,Sat,Jun 11,COL,H,SDP,W,5,3,,29-33,3,7.5,Chatwood,Johnson,Estevez,2:37,D,29078,+,,
63,Sunday Jun 12,Sun,Jun 12,COL,H,SDP,W,2,1,,30-33,3,7.5,Germen,Quackenbush,Logan,2:49,D,32946,++,,
64,Tuesday Jun 14,Tue,Jun 14,COL,H,NYY,W,13,10,,31-33,3,8,De La Rosa,Eovaldi,Estevez,3:43,N,46335,+++,,
65,Wednesday Jun 15,Wed,Jun 15,COL,H,NYY,W,6,3,,32-33,3,8,Bettis,Nova,Estevez,2:55,D,40093,++++,,
66,Friday Jun 17,Fri,Jun 17,COL,A,MIA,L,1,5,,32-34,3,9,Wittgren,Gray,,2:57,N,19767,-,,
