Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,OPS,BP,Pos
2009-06-05T00:00:00Z,A,STL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,cf
2009-06-06T00:00:00Z,A,STL,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,cf
2009-06-07T00:00:00Z,A,STL,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.111,0.111,0.111,0.222,6,lf
2009-06-08T00:00:00Z,A,STL,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.154,0.154,0.154,0.308,7,lf
2009-06-09T00:00:00Z,A,MIL,1,4,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.235,0.235,0.353,0.588,7,lf
2009-06-10T00:00:00Z,A,MIL,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0.222,0.333,0.333,0.666,7,lf
2009-06-11T00:00:00Z,A,MIL,1,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.217,0.308,0.304,0.612,1,"cf,rf"
2009-06-13T00:00:00Z,H,SEA,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.185,0.267,0.259,0.526,7,lf
2009-06-16T00:00:00Z,H,TB,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.194,0.265,0.258,0.523,7,lf
2009-06-18T00:00:00Z,H,TB,1,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.206,0.27,0.353,0.623,7,"cf,lf"
2009-06-19T00:00:00Z,H,PIT,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.189,0.25,0.324,0.5740000000000001,7,lf
2009-06-20T00:00:00Z,H,PIT,1,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.22,0.273,0.341,0.6140000000000001,7,lf
2009-06-22T00:00:00Z,A,ANA,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.196,0.245,0.304,0.5489999999999999,7,lf
2009-06-23T00:00:00Z,A,ANA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.18,0.226,0.28,0.506,7,rf
2009-06-27T00:00:00Z,A,OAK,1,5,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2,0.241,0.327,0.5680000000000001,8,cf
