Date,H/A,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos
2010-04-05T00:00:00Z,A,MIL,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8,0.8,0.8,1,"cf,lf"
2010-04-06T00:00:00Z,A,MIL,1,5,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1,lf
2010-04-07T00:00:00Z,A,MIL,1,5,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.533,0.533,0.6,1,"lf,rf"
2010-04-09T00:00:00Z,H,SD,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.45,0.45,0.5,1,lf
2010-04-10T00:00:00Z,H,SD,1,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.385,0.385,0.423,1,lf
2010-04-11T00:00:00Z,H,SD,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393,0.393,0.429,1,cf
2010-04-16T00:00:00Z,A,ATL,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.379,0.379,0.414,9,ph
2010-04-17T00:00:00Z,A,ATL,1,5,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.382,0.382,0.471,1,lf
2010-04-18T00:00:00Z,A,ATL,1,4,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.368,0.368,0.526,1,rf
2010-04-19T00:00:00Z,A,WAS,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.476,1,cf
2010-04-21T00:00:00Z,A,WAS,1,5,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.383,0.383,0.511,1,lf
2010-04-22T00:00:00Z,A,WAS,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.353,0.353,0.471,1,rf
2010-04-24T00:00:00Z,H,FLA,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.327,0.327,0.436,1,cf
2010-04-24T00:00:00Z,H,FLA,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.317,0.317,0.417,1,lf
2010-04-25T00:00:00Z,H,FLA,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.308,0.308,0.4,1,rf
