G.Num,HorA,DOW,Date,Opponent,Time
1,A,Mon,3-Apr,Brewers,12:10p
2,A,Tue,4-Apr,Brewers,5:40p
3,A,Wed,5-Apr,Brewers,6:10p
4,A,Thu,6-Apr,Brewers,11:40a
5,H,Fri,7-Apr,Dodgers,2:10p
6,H,Sat,8-Apr,Dodgers,6:10p
7,H,Sun,9-Apr,Dodgers,1:10p
8,H,Mon,10-Apr,Padres,6:40p
9,H,Tue,11-Apr,Padres,6:40p
10,H,Wed,12-Apr,Padres,1:10p
11,A,Thu,13-Apr,Giants,8:15p
12,A,Fri,14-Apr,Giants,8:15p
13,A,Sat,15-Apr,Giants,2:05p
14,A,Sun,16-Apr,Giants,2:05p
15,A,Tue,18-Apr,Dodgers,8:10p
16,A,Wed,19-Apr,Dodgers,8:10p
17,H,Fri,21-Apr,Giants,6:40p
18,H,Sat,22-Apr,Giants,6:10p
19,H,Sun,23-Apr,Giants,1:10p
20,H,Mon,24-Apr,Nationals,6:40p
21,H,Tue,25-Apr,Nationals,6:40p
22,H,Wed,26-Apr,Nationals,6:40p
23,H,Thu,27-Apr,Nationals,1:10p
24,A,Fri,28-Apr,D-backs,7:40p
25,A,Sat,29-Apr,D-backs,6:10p
26,A,Sun,30-Apr,D-backs,2:10p
27,A,Tue,2-May,Padres,8:10p
28,A,Wed,3-May,Padres,8:10p
29,A,Thu,4-May,Padres,1:40p
30,H,Fri,5-May,D-backs,6:40p
31,H,Sat,6-May,D-backs,6:10p
32,H,Sun,7-May,D-backs,1:10p
33,H,Mon,8-May,Cubs,6:40p
34,H,Tue,9-May,Cubs,6:40p
35,H,Wed,10-May,Cubs,1:10p
36,H,Thu,11-May,Dodgers,6:40p
37,H,Fri,12-May,Dodgers,6:40p
38,H,Sat,13-May,Dodgers,6:10p
39,H,Sun,14-May,Dodgers,1:10p
40,A,Tue,16-May,Twins,6:10p
41,A,Wed,17-May,Twins,6:10p
42,A,Thu,18-May,Twins,11:10a
43,A,Fri,19-May,Reds,5:10p
44,A,Sat,20-May,Reds,2:10p
45,A,Sun,21-May,Reds,11:10a
46,A,Mon,22-May,Phillies,5:05p
47,A,Tue,23-May,Phillies,5:05p
48,A,Wed,24-May,Phillies,5:05p
49,A,Thu,25-May,Phillies,11:05a
50,H,Fri,26-May,Cardinals,6:40p
51,H,Sat,27-May,Cardinals,7:10p
52,H,Sun,28-May,Cardinals,1:10p
53,H,Mon,29-May,Mariners,1:10p
54,H,Tue,30-May,Mariners,5:10p
55,A,Wed,31-May,Mariners,8:10p
56,A,Thu,1-Jun,Mariners,1:40p
57,A,Fri,2-Jun,Padres,8:10p
58,A,Sat,3-Jun,Padres,2:10p
59,A,Sun,4-Jun,Padres,2:40p
60,H,Tue,6-Jun,Indians,6:40p
61,H,Wed,7-Jun,Indians,1:10p
62,A,Thu,8-Jun,Cubs,6:05p
63,A,Fri,9-Jun,Cubs,12:20p
64,A,Sat,10-Jun,Cubs,12:20p
65,A,Sun,11-Jun,Cubs,12:20p
66,A,Mon,12-Jun,Pirates,5:05p
67,A,Tue,13-Jun,Pirates,5:05p
68,A,Wed,14-Jun,Pirates,5:05p
69,H,Thu,15-Jun,Giants,6:40p
70,H,Fri,16-Jun,Giants,6:40p
71,H,Sat,17-Jun,Giants,1:10p
72,H,Sun,18-Jun,Giants,1:10p
73,H,Tue,20-Jun,D-backs,6:40p
74,H,Wed,21-Jun,D-backs,6:40p
75,H,Thu,22-Jun,D-backs,1:10p
76,A,Fri,23-Jun,Dodgers,8:10p
77,A,Sat,24-Jun,Dodgers,8:10p
78,A,Sun,25-Jun,Dodgers,2:10p
79,A,Mon,26-Jun,Giants,8:15p
80,A,Tue,27-Jun,Giants,8:15p
81,A,Wed,28-Jun,Giants,1:45p
82,A,Fri,30-Jun,D-backs,7:40p
83,A,Sat,1-Jul,D-backs,8:10p
84,A,Sun,2-Jul,D-backs,2:10p
85,H,Mon,3-Jul,Reds,6:10p
86,H,Tue,4-Jul,Reds,6:10p
87,H,Wed,5-Jul,Reds,6:40p
88,H,Thu,6-Jul,Reds,1:10p
89,H,Fri,7-Jul,White Sox,6:40p
90,H,Sat,8-Jul,White Sox,7:10p
91,H,Sun,9-Jul,White Sox,1:10p
92,A,Fri,14-Jul,Mets,5:10p
